1035 5 598 2
92688882 290670742 46625442 876256067 960970761 
992735832 585630561 675758712 208440813 770383123 
456383256 777045539 242580808 939039992 985373643 
672372812 127941447 181190525 685157799 423536013 
745978661 991343729 143434670 340686078 584784252 
456130422 701592033 271079883 872570271 834945828 
674892995 955791097 362034044 188497581 388169524 
778486019 205011531 570776086 893107197 61198404 
198607805 230590863 624830583 594325644 783011154 
422702817 915196115 790314165 378378325 226851506 
560648766 665892741 214954282 228123302 613391015 
366140570 792624492 624816043 559720284 349905532 
166753138 451480344 361737628 225308176 655837013 
407172384 521566300 153584022 697451531 616413098 
90106724 721419166 635842553 269011074 648342787 
443903123 429361451 319351060 4991780 259476711 
530946327 933217777 826866261 610235416 779321861 
869641787 752986311 392029127 675992876 552600784 
697833960 936109875 871617781 374716775 114577196 
558389999 424703320 323750415 743514315 124452321 
466645117 39017121 991002093 353608567 894074810 
153720997 397609868 235314439 162836074 35905980 
28318730 311780725 5804074 144840260 223964788 
708015119 105871398 457376740 464231651 205773314 
64800500 969588142 877080517 77863949 768313820 
632362251 239182615 32781269 559673122 503343049 
357808541 652578404 937917336 158143344 634667757 
257292839 250267659 770502421 43310626 520000575 
103808463 200414792 936881812 563316166 247963917 
866234686 503232405 907862918 624920464 399562548 
714354133 736459818 351901580 895259277 987216723 
419133830 960622981 12125812 479787350 613222418 
447262056 632593643 137091410 710246983 949306974 
988173981 404809431 928171967 666149640 552328803 
958647080 263833956 253012332 435719245 178002357 
311338803 936648842 987961656 245401407 90092660 
735854549 372974115 147756551 452789086 976319842 
922493473 216807010 17467903 465201315 255773083 
968031483 166487823 486297711 298094386 735214644 
977207938 631851727 509887633 110214458 406723548 
340593272 592417 469065633 745773299 624502375 
782205674 520949608 296036722 485641935 851971220 
868061234 762545715 831303634 527141456 637009039 
18093803 876329556 737275691 936066051 914015567 
119011764 578808490 417946098 489845305 40087266 
984337729 424897105 629228407 334841222 176750156 
80201552 204200853 89056563 794877765 256728124 
894395726 987832267 390526090 164914149 818484772 
844789849 812705042 461592411 19766218 240548313 
849782362 976949201 152958054 697174413 681465371 
937012445 661954368 529904906 903495195 24125551 
413643805 353992779 448501737 313520864 6669304 
562770052 68394721 492343734 418703951 597054268 
465966917 180957750 681704423 39424594 577824631 
666304324 261663050 421619317 553602924 480659141 
49299772 416551668 508029499 640125192 14446496 
717761441 941350063 44335090 989053875 585272216 
786079655 330116008 352208752 693351406 826144359 
209132996 62682477 452598350 502911489 376793210 
161070996 349227356 961083526 921204769 483130295 
805673026 247855948 384689042 694576830 132211548 
170953054 853238685 452897460 988136683 250600873 
259547110 496533129 335708665 617994552 859202075 
455014718 850853169 849240829 81090639 559689161 
477230629 409023810 701023954 616882594 770297283 
516967527 123647553 13665506 87764291 617031192 
434513240 207537164 72765086 939141583 950675616 
582667231 811837057 338842545 312729017 455925073 
472701584 965799381 10941320 764069789 530072125 
421787468 594342047 438573949 546062656 809838957 
333561154 605782502 395912140 746785114 732769786 
201257026 717468021 618284918 539240814 788525997 
243468974 332307816 14848852 944212186 551540887 
534450826 461197156 25309949 701020744 681645287 
551495915 335692568 246504584 606149227 213737324 
288429907 509711499 946123999 849893467 596843020 
55914178 309954166 758871654 188032159 509130781 
647089546 386284942 602599946 875227853 204810589 
402830936 267130737 525652781 362995376 382491150 
628461126 231152983 255326949 656014640 621047716 
240645782 43709114 970987519 765642715 819519030 
195971476 55496394 679260690 595175839 977464846 
52004918 286806622 364200734 975430618 581851164 
756517846 473569057 360116922 443093344 469676453 
381113241 168218656 165896501 130435761 612431080 
291115356 778483902 740649417 79699440 194398426 
188801951 886457893 48756499 834931511 961911144 
74510626 816244792 180769342 584021722 178958383 
874304820 824279483 818708264 971422950 380318920 
603491024 683856021 773516687 927792684 339539920 
552885220 261350333 175475747 853298211 287886963 
451232174 951010050 352277157 153364431 183410044 
429354828 121131964 247389402 652316092 378713347 
346353117 33022893 80174838 849184065 96768970 
744189944 989366003 511107695 730089230 365439727 
719651767 926283334 773119787 223043380 901285364 
684214669 582368016 354597074 551518502 615639872 
450936908 589417809 261486869 735821400 515487370 
199112760 971764162 595451824 803770246 643918803 
914549701 682748985 255955124 750805749 432725137 
648011896 113575054 669121166 891318764 928583283 
417589887 545087861 184944268 464933788 400626580 
368112886 926281866 658111752 206502236 547470238 
877585736 837138006 332364216 273104317 115528153 
185126431 888967650 192448347 155491196 305949942 
551564197 390277206 832132797 733648458 668153107 
770616496 210024501 332161859 193160723 593847754 
992251937 673408710 32564138 928091827 640615457 
363847949 104186085 33177544 380230961 573245282 
472889571 7636456 864020284 118969920 650687928 
831607323 617473959 879289788 961742427 269428429 
401414888 750467392 486759455 833584925 929085628 
176952184 11964064 296647487 968271139 394423275 
943483799 798702583 514883849 243590555 756708815 
353811131 538658925 794897708 496758690 881678987 
945037028 408063535 911463203 938291804 252084458 
651178573 196905436 323641595 471777361 592862676 
284791333 952770191 966109422 706551266 497988696 
354982823 609676096 515801012 207661634 281371355 
301781560 894085700 626324306 194757101 163520357 
439307364 806403122 37707305 181309549 49601164 
950660596 119727691 653890095 266564005 432429652 
859584413 378574405 507497364 299970198 410874943 
491911698 499884714 970729373 913584286 337899494 
637278893 770020670 883165288 854491100 141062762 
629510578 875856332 772463405 551558281 844775474 
433217265 428607141 104215925 345396261 477546050 
208415554 97905703 160281725 26930977 662691663 
154082684 946321219 505164610 504854115 193707248 
50662472 504738642 506308408 398321123 805422514 
269327838 603929829 233008758 933587284 32429488 
667140687 945850786 560599540 660388455 129079085 
890131242 364215212 409822691 235793353 530209142 
588541194 236440860 144818668 87448566 904035784 
673323367 616392854 762611551 262856788 400063331 
858085284 808720478 834099732 195102297 848423326 
414136213 650866349 65556157 9510802 67163840 
389567675 677172612 149467938 869377102 247819151 
232015939 452406392 410140748 213100716 125593081 
322704096 79633925 987363864 379602693 751921664 
303331108 839602923 570110050 458494045 290039265 
996268903 774229649 159487182 424461283 372328674 
116916082 257705485 907202115 571516738 294813100 
531718581 955336937 342972190 302880737 577016241 
19586955 433627361 74937018 569155969 38981184 
796294635 611184765 318837254 911960805 714545882 
894953707 995159427 616363699 469637003 759478778 
941544484 774043400 877487535 688956308 504756320 
915040280 629682495 272573680 150618411 520873671 
679561444 518276151 186154808 937000621 49828833 
384735372 914351210 683572412 624456857 521284602 
914774780 105886528 579187303 413619273 593149669 
528740001 598387608 735354969 277255100 90542082 
472356780 418173034 49310501 733016715 248820123 
289660364 884413840 801442753 837083636 114862012 
667737826 330090730 247500644 803084527 554443789 
341915775 603594302 972087588 865353059 812491313 
107511048 49057648 60287827 447026473 375207195 
633313111 855012205 651629645 283087956 360544611 
444388863 826177678 703528811 812916182 166627361 
171020088 414161535 525863354 887340011 155209234 
541094324 893500262 255001679 382516203 734472326 
347329587 234377381 435297838 479595635 867649481 
209177002 346660215 477735964 834115733 116140282 
869196700 846801867 46762250 683453151 630344357 
996922937 90265949 50333266 146953270 763777700 
650297923 943828443 305927211 731701032 116484706 
978670718 228640624 161685382 521662959 696069663 
783075087 3290895 899375531 370588355 530301813 
265517364 922623322 796156845 93425355 3632839 
130375616 452529698 35455947 254833386 694296972 
276302950 701118972 689874455 943534360 192465038 
451481572 726023868 378775274 77981626 221248117 
630639488 463170987 402299301 663023446 691044529 
316285112 436254532 426343572 315050617 555780900 
70413065 22772058 271533986 584877761 941477192 
705632626 505386485 770654806 514856775 933131587 
683734097 639293562 10125329 249101218 399108522 
216836162 378577103 524334346 141122222 120627238 
161434505 232429468 164036115 712280014 375325443 
910114685 50605806 105471156 470733409 31799464 
206017394 754548979 114232153 185937615 663518053 
941902956 563578889 963786918 504713861 741819643 
572279134 743109845 829865058 625172616 553606815 
514537474 98862951 939581395 407620176 283999770 
640104840 371316195 851151389 803699055 745090363 
443005511 446234768 144318670 296318198 967804861 
319895455 735273456 833732865 509053266 213452304 
447362496 922419785 486470810 1551752 578215271 
118628129 984598706 744646382 339433601 439675396 
237579263 324375473 216952730 680663748 898067509 
548462124 222442451 887995337 415201966 138924305 
115336729 149192914 819368110 80482485 656578542 
255704470 756497919 146178088 112363276 799045367 
519197888 43628297 818074932 635828665 154332228 
644164393 80364339 337977378 743876032 253891238 
525027904 358288839 464698713 325759806 294081889 
101280089 217748274 716325832 55088625 800319580 
553144108 959594175 674611654 427841627 415562343 
386882676 276018662 365325473 488049493 36960246 
271096759 597039017 966759550 443879100 514436569 
853773505 182890769 306638459 609898664 187999064 
120057913 96803144 426682362 874929842 926959885 
424186941 854622363 378360330 355329742 844328965 
924038490 602611107 727241743 313734525 391799171 
869051835 146998551 772581503 771470848 154067152 
661382928 877664927 678973417 839049301 832402963 
869386469 789520125 123471428 579292314 712907503 
653274049 742538266 886645068 475388560 819370171 
825240349 740011884 203102282 120450990 205686845 
618804371 383053097 575664591 196585202 326266307 
138982551 94991604 518001096 893984713 862878076 
470575080 342034369 302265426 807285364 405712666 
74521317 749463139 735330982 521563146 998831665 
689870904 596987525 326138976 796274702 134360775 
990579776 241190190 130245744 501227799 134713041 
609452988 866486806 994806761 364207291 39945428 
455617949 814399664 719910732 502000496 787957752 
567114024 234769642 120851279 687682099 494660335 
942026932 138104107 166940901 882931326 314855800 
29375560 291931308 221049112 331885126 912061532 
834227439 890707508 929749070 130901995 745854321 
789737562 746488165 40858570 972147842 791092524 
411102158 699976540 36520095 85232853 856902453 
767103899 981218615 674937150 979393730 925574978 
676125976 45147036 659559092 817364719 456917159 
904407935 678289804 475996547 679333106 735470529 
713173679 489671004 112829719 188953169 801919640 
36946372 554310999 892453225 160516468 118147121 
199011650 459889767 699420738 477822120 287620058 
475080645 964091017 669031104 83394254 479557223 
190621738 639638841 379435095 123867119 235988905 
125571888 803130743 319116945 60880142 289841873 
727988391 920025321 307961854 923352842 52307457 
431276070 431225202 151887812 537250381 951086493 
120950262 339470256 140701287 384774074 942584157 
720522060 529999176 559578663 879430159 360040387 
648909465 111300006 302681335 342019796 123371769 
374126345 800236118 192371204 528461660 453822910 
794732536 525574221 130989828 926618272 641686506 
336653439 110334294 213957610 160867476 894102910 
926256000 646731689 557287379 333644925 686216555 
617319154 98201185 233612530 635992171 90945576 
106192435 189223444 820155519 792269007 135922069 
642072168 18415347 874865408 55704208 63109307 
563869312 789084314 470996854 712374283 60807120 
666341350 408910941 336148611 992766287 989776447 
979912568 489962885 118095864 24080051 451842354 
60017045 164672781 517565642 348282862 878558876 
798298006 415862980 710035091 697300324 522945178 
829582728 146963462 16081073 547402112 793202929 
788891411 348035287 349563602 563980375 978100908 
814875995 16530877 26454779 335345682 776143938 
700107568 909284279 852299741 398177938 906849206 
140049236 706726750 250148151 587141303 253396723 
432977789 925010494 530392374 88585799 426228319 
192043035 334747752 837982880 614765067 336721370 
170246253 624014351 828844771 279135745 932605979 
632143756 290360329 733238178 812132304 858781271 
162896833 906712645 817463129 476829324 638998075 
264870788 981980501 113861974 360115924 881989166 
304489461 506007073 148880144 238673765 172871589 
474431262 601804849 378995404 887796394 677027334 
449082830 730170762 554642089 723629022 700157277 
743578093 888327511 124024546 283501877 330366739 
390753041 69061881 123207292 589866488 144975885 
871631266 82878229 115688627 424704405 675313675 
773898870 155346426 349745640 80593928 350837370 
323837024 489328027 365968424 380209159 576776418 
89287834 657904122 789243826 834342654 791227824 
736185537 644620956 342207320 310501945 797986348 
161285257 527637006 69414004 414747715 199904374 
862593250 594843238 486535267 858226099 788273543 
502105961 42641230 355428064 630930634 100898629 
897258316 63813294 234866291 815333000 234416634 
267999447 609795778 549165205 853284670 408284046 
59975296 666637336 968478009 695614872 597021822 
329144619 80403797 533140665 300040017 585870279 
644579242 244629142 804325557 253256295 714925375 
66785227 817624438 31923276 881406148 949092363 
58708124 714101016 381087989 276027328 980816141 
616332467 77619622 40765231 255439204 466132050 
459921387 416060254 684091554 25933135 860283356 
207666850 865821957 49400659 808466631 476836708 
644411157 70603814 934626339 491889798 327064368 
428965546 249545254 122216431 878056671 539252781 
514529583 508653708 676822453 992197037 564269628 
415436281 576645131 376867262 130965990 244363272 
596179677 79817994 858080128 271657639 375444308 
55207076 795889172 616469026 196995660 782483421 
714770609 782786729 564312036 233331900 493409082 
176825298 889453798 795119849 677798981 406743258 
104391708 347159205 275074866 876246843 622459472 
726659612 59879307 510552526 874388736 863675431 
480132185 885400582 79269985 755589844 960683426 
239208741 236794549 582558724 466947965 852072527 
40237022 379281409 667181779 991911542 748093498 
43699831 525068149 232397366 825245307 409874325 
837975490 838067421 941612159 71244751 573048872 
598680920 107463454 412216828 920436097 470736237 
119582632 872062763 916700639 57730227 379249403 
543871699 77677815 816502489 637227360 829076539 
44888053 121901867 994166593 261644672 67776011 
253012164 545762293 769722884 460964611 83231475 
669622060 206734226 709097634 10687481 519833718 
300287968 115830840 559661260 173880305 655249854 
488598364 446258916 91287671 365671552 581005107 
147816637 135855091 184502412 159098590 602684389 
965800464 924132051 57371234 277166020 929101143 
668961464 500728541 816200770 624602725 890133140 
798295556 151685568 595069866 41948511 237386733 
247615970 509865242 809269787 890429831 786724966 
828852572 370968132 813904386 697695761 219537460 
604597820 116443107 216922274 183701464 575532627 
915624105 294908625 49704668 689844644 467816413 
784645620 521582811 803373231 594950235 889312319 
744268882 154902452 801440633 472201798 969141986 
765643943 422069397 412515721 267718599 602766208 
998721865 608228414 55270205 975869022 928996045 
108185720 150362509 196717496 963167912 365361550 
383563815 808893690 438039556 778457850 730857838 
709321059 446006086 469431415 204330722 618111710 
931323713 778799852 388615629 636553336 286965117 
439823946 870440980 140902079 902273990 903175017 
592523841 689820836 196504186 749221044 314282025 
347531019 639956313 547250520 918934792 956927920 
920268240 953346955 143140876 991287086 251488950 
441008021 304548014 682414084 423854979 658437284 
712151527 603302677 785195952 705008481 723110630 
968811332 986152986 141267380 159744378 295673167 
973580631 743136297 50247954 510654634 939714986 
237211674 768970232 673547528 10083586 307103161 
339439201 123489135 578037668 236329801 487966290 
98191046 7233715 22964151 123288814 431147136 
833872658 238092803 155192065 903907274 988295927 
726852691 677046828 242549887 572834269 80247314 
47820279 241616244 263256354 910349460 610297566 
49659317 380665373 485153954 584230471 282732155 
509649849 540843036 330979491 950572978 805652534 
951454818 253936629 353254115 374366667 842484822 
501515893 908767395 249188065 991029757 600684575 
447309583 284475538 21577856 952397913 591780734 
219943758 722488903 888492406 15357866 522736297 
972358006 475780429 899926715 614118767 971683929 
828902585 203538038 992231184 794315780 752347525 
571704035 320952854 454584071 697550157 404645980 
995147926 164521566 520473770 639936747 35156272 
138642925 482799699 749704747 103108397 597713363 
523086983 446201272 380751454 446982343 440851881 
203545302 727215042 219581089 253369330 529307464 
323806496 318912466 203011795 547877200 849600526 
337303569 451475026 819267563 233848710 956018437 
311972016 218852900 374690673 631767201 820418027 
692247061 664652161 873445947 973078889 399216320 
152458687 299475877 587709326 648514459 448114380 
928945093 425141897 188225219 609610816 264454019 
292000572 980187706 819783555 114559934 708309066 
166250114 765111111 45302013 911407748 725487645 
244465416 500943461 605796908 992609097 478925931 
525790416 513972281 352089540 654527595 929242913 
770317934 532066125 541028160 229519897 162058257 
287734009 853667292 379626812 942633525 458332813 
52353452 908911174 205250473 70122142 807807026 
31399859 336457877 527711356 452224503 213874016 
505819351 861243998 657199598 96614082 902655048 
395341354 295087264 992422721 551872962 524133708 
624897860 184723862 170883339 895282231 867589684 
75260805 565792749 773926377 782933427 843730768 
37950426 347689688 673509677 729856042 433604233 
943861382 369008272 396929452 614485415 109740192 
502076009 767896405 686970285 517805797 32962550 
998437113 554006061 705757243 485810127 609405427 
925065166 578400637 463742824 280599597 774734857 
115962128 499932138 572170880 73349252 70360869 
15287757 214003063 977812622 856467563 694887478 
454151598 110261414 703058887 581772804 738288765 
405119434 645857694 760901608 878117419 115237640 
219476140 801201009 264820858 789699365 163077191 
228602100 537686978 489823431 481393106 865321020 
538843199 312372268 643508671 433015783 41852366 
693763735 610210412 351281586 354978876 513280943 
178278525 117802815 359665376 780386896 857509929 
221089260 131979217 950262164 437788148 547965806 
171021347 863101685 360881724 453908472 570655128 
417973114 981822924 557232783 104209968 136797210 
587457132 841833226 530792953 372537206 776688407 
964179012 397570180 903326867 747305213 466119964 
50071771 793508265 321786133 765210208 178354008 
778058338 745445456 272105741 565571618 966326433 
935609673 380869408 543357378 923979084 341649371 
515546657 233353662 846324415 348208346 152055704 
264677396 648843475 308818595 223381189 178437548 
575397585 452758897 659773378 840984648 481140162 
341122509 164201642 629555628 60364552 792322323 
933998229 145820582 641467272 725338868 106307354 
132799636 235644133 536059448 36624947 194066786 
570024207 96018415 66228791 431908766 977403199 
868485693 609216149 999170247 319858507 158525759 
745586866 722190734 684828481 231516696 862985344 
977378484 609065288 688868066 782641907 107209948 
300483861 2480289 859501312 618981224 463018471 
80574385 32154641 735470435 158686558 607303286 
561286597 519338354 648054877 135178600 83134642 
269240975 183518322 343362355 584996036 55741753 
209962520 591644668 422752123 576803892 930560114 
649146513 141752801 714800526 106981608 200598849 
621929985 613834363 531467762 79881173 480357186 
670589631 550587994 836968334 62275216 606768699 
71954515 636498563 683647291 205319068 616000386 
690758634 654288033 288863786 252472234 705073375 
187386024 483736328 237418098 161979289 776723500 
784981291 660459967 853960102 117436621 271993513 
176583158 498867741 847016707 760450000 980858988 
817399068 2315268 561373881 858139548 536881173 
761736188 508237911 789362094 778352450 810423658 
641618457 495089528 288178167 191027543 403162638 
160107024 878711677 862804822 413380595 282286886 
995269376 537441929 415647585 475148097 60738306 
390774902 20304208 314825749 201548729 409522095 
754689754 687337975 685965814 841038080 82101174 
805173034 704554565 958145623 318131853 405691239 
747759155 338209623 844636037 515468692 487742638 
692317081 916961690 609637625 259171323 717412484 
462286420 530419287 861686023 919345579 787256118 
936490268 576451592 708494369 711599440 749894760 
402407294 490391060 102672348 978855831 776085587 
178509566 590549443 930633774 536470729 987959007 
319634351 423786770 71094962 953489651 892112224 
422561029 952457793 724620285 487684229 568726587 
653524917 737634389 573083331 733795401 964184561 
744126986 454029875 569201565 89553500 982262171 
678084761 538874787 379422714 698950849 797867844 
891837010 794105810 629912200 155789037 702694099 
963979133 806432942 84996680 219934649 459350099 
299720879 312968327 519548718 887148399 122859795 
642774189 204910455 239785599 974702857 356504932 
857262321 844895733 839335738 379394380 501096441 
968085115 332478082 875958823 857502189 347364129 
827826313 100735548 655242356 331461189 933467434 
13618033 433318985 72598479 631761168 77449579 
657427356 57707852 285490955 194818960 242651402 
841410355 831663520 920140236 643789309 984205593 
10626595 683959653 433996112 834591469 926895623 
213983485 216510620 502452225 526408369 454191824 
222042465 895733716 111797668 832349948 96715411 
239026888 391357246 851716325 440879448 901632663 
273724535 497528077 364872123 182443335 820119495 
751719788 128364827 195701547 121019078 565448094 
444947990 581008541 410054983 631680948 932502198 
967500481 963848889 307531135 743800496 319423953 
349490526 799883354 611942029 105311753 74893778 
666016013 508429934 979789448 688127681 558592918 
265042346 733161213 293748737 655216688 458066799 
696602845 274604538 154930676 887059702 87365255 
261813335 511296875 273349132 139098674 984481085 
215535856 111192411 165182589 901817500 956649143 
111882718 583273707 93851214 138538370 597470671 
786159868 374349885 901405352 576167217 276987153 
206324403 841298967 587401318 631727704 695055521 
327354832 965838972 498193116 896243935 768395807 
792692147 37818581 813460710 890746008 857382647 
329363379 272425620 531330489 105741410 835482595 
974519119 191193357 17848935 66997936 596631110 
692038588 441521367 26912497 474818329 969585997 
748158080 183072472 13723926 383230567 486968176 
684626195 274637347 18800206 354169974 731666921 
809109456 359357717 887954513 607541772 685667715 
707620592 974237150 197406776 706986923 989877386 
270573867 391008709 887842443 956013547 864906002 
454923378 790317090 536293499 841633730 371556298 
244967177 810621279 399764268 242132278 639968083 
415762884 826034797 927667927 325368044 960451174 
911769538 63409041 778224619 725350494 300321731 
855540033 633458076 829840905 644003379 420475165 
381714142 489925707 944646335 872218152 811092202 
326125457 663084049 413363247 676922421 81124348 
309483820 39522665 383663745 936361036 298830321 
761211515 316321273 342815573 213335897 928978794 
713432657 992711711 220342825 982767497 255193886 
598857397 428349603 371526522 27621946 103367002 
514561127 229140454 723065172 658125210 37796935 
488620385 433767083 123296896 363398836 759995859 
104443551 247191440 616530334 846703205 151793965 
458726015 62968525 88741355 886721566 86102315 
180151109 483871480 255125485 214561421 200306273 
412943334 400309766 317806805 751547439 61466359 
407174558 939972283 293286514 505017921 637305718 
131278660 338086721 478755960 10655112 307999517 
42633336 214608721 354179681 290989649 250322418 
904767149 972388699 581655795 889530356 84347664 
810955614 109448957 501261300 929070126 414255737 
308854740 297014872 630887473 303305887 474404570 
338939278 423622676 865896400 74218154 853964666 
385647815 29442079 17017558 413315119 597336362 
823946223 933680181 56598918 972846760 255850168 
13410622 209344320 721270287 9684938 200027008 
63414194 375688785 270859812 562260806 277241680 
652752726 912838723 629980812 936760035 56062983 
911388647 865506183 153612080 134562597 68181742 
861047190 459297938 830746925 421689584 573491382 
633911216 234473274 380592801 597884962 537942798 
313124178 683463907 647493261 824464044 333253250 
604822456 316732161 176364994 677556987 19935992 
367820741 511588397 518208787 491716815 94438123 
257953110 969013008 299631579 3045712 950562740 
66171299 873821501 581467698 388437393 370840316 
364238418 793806010 394678332 642557594 386772008 
847133803 406750071 737682672 205205716 230022070 
891710777 323453555 897449956 341505628 638818719 
819582204 938523262 418726005 196254071 222479808 
965720000 77118180 640737434 664999799 122147828 
891371684 119968094 610616142 985099347 774311226 
377415988 54347978 156298605 530400431 33316814 
174855419 315064 26335807 260576836 711743425 
683855020 557143784 136434843 366842842 952918715 
271211156 423428946 683346792 193435836 918299200 
892513485 492682688 643252897 316936362 188676282 
681694796 725752091 249441207 649761622 547847717 
553415257 286851608 192257795 485977300 574290818 
108584286 939149755 643151154 604208042 276790780 
427576679 546377487 301836222 992572639 363697479 
85909625 794961659 629173850 172195564 95036863 
849147684 523895101 463047515 53733081 534690807 
810201417 431347560 276038908 201977516 131617363 
332231637 686060719 24717361 33921495 704277420 
954760337 761810902 532187607 695452991 919270569 
471105544 806275965 207149429 919476335 617032899 
901898532 546662948 911011003 178127011 492275956 
511241073 288296863 17912845 49446159 588403788 
587285663 247609110 409488654 606434140 291277049 
530075103 828218499 378647901 290043135 458331487 
595887902 681368379 493848117 690266082 477325530 
584014406 188555748 153084803 660865561 387292406 
42265176 623391535 12831782 696484267 508867177 
875933364 394819615 416919018 812387565 582787562 
368318676 839261919 225312538 960444618 103773871 
977509641 818306601 39540028 198584575 216402113 
364779773 713179347 883075780 904246630 52792837 
579567594 437029563 917434776 798044014 483379034 
723543353 70912234 912207127 800234642 791402608 
956367472 616594730 821334664 656578042 504954865 
157588264 597628955 87194966 520211901 17844428 
22202002 332514742 688225628 21544486 194636390 
981181156 545962777 563830556 583940386 472786930 
504669371 449416536 351466089 113142400 42533606 
184538200 990082198 893935083 509743605 292099373 
382123108 274724758 420362471 631922116 750307424 
784732690 570243860 415234869 928485847 660525549 
618182641 929538115 683240936 274218832 35716053 
195528335 434025102 919912772 955671040 8334415 
502786807 690252190 455079303 137188669 707920276 
950518383 43338148 497667454 673247095 54328170 
690758142 97235831 509778548 903369676 674215459 
212284105 358325243 245102946 736004887 913580064 
478437839 246339318 796097950 574526259 225127009 
458038656 128813937 689010879 438729766 46498601 
958527712 753136342 165708710 785823389 329377257 
198832162 832156149 50786942 187892926 79799086 
479043493 111975198 310591408 466550371 495738269 
836678191 32944502 784959934 172984596 613767556 
867937740 513366059 518916394 787637296 208963087 
121657951 939155337 260226725 552237974 546179557 
576868754 773278332 939506007 599952713 736379267 
407769548 859405029 136228747 492044473 445586183 
186909279 646750184 343659552 881984714 286963609 
140191604 592259192 630954460 7817043 898876615 
96385949 497297352 5065285 236740398 570827975 
8451135 559406356 909949579 61967159 585335772 
435952219 681205519 505987680 819343790 372176689 
676749087 749841319 425970 62240997 162777312 
758752077 427375242 752069708 409835212 123808022 
619777397 711261422 976960368 195355190 801148606 
940642170 320102509 919937302 789848605 837501112 
913842650 82297038 809693672 254487029 659986365 
9435900 40004444 382385878 367002175 672347323 
117189867 319956704 403294818 697309063 703385628 
369948711 110790957 960536035 474270965 170781226 
565121963 642566716 319300084 753528405 159170631 
640182803 910237596 910389229 698655390 923715045 
456186550 633320264 267229716 727511069 476438325 
161934023 598024010 743206859 299162699 778264639 
535983031 437248034 693500472 75566145 381443428 
381404753 896552856 63392348 265122074 962287590 
